Story ID,Prediction,Rationale
95,0,"Primary text states: ""But you are unable to oppose them,—you, whose mind is so quick, and whose will is so firm are nevertheless, as weak and unequal to the contest as I am myself. Alas, you, who would have been such a pow..."". This refutes the backstory claim that 'Learning that Villefort meant to denounce him to Louis XVIII, Noirtier pre-emptively handed the conspiracy dossier to a British spy—the very file the Count of Monte Cristo later acquired—thereby engineering his son’s “lawful” murder' by demonstrating an incompatible narrative state."
136,1,"Primary text states: ""This same person, with almost incredible patience and perseverance, had contrived to provide himself with tools requisite for so unparalleled an attempt. Another had done all this; why, then, was it i..."". This aligns with the backstory claim that 'From 1800 onward he lived quietly on a small island, drafting a vast work on human intelligence while sending chapters out by secret courier', establishing internal consistency."
59,1,"Primary text states: ""The right hand throws the slip-noose, while the left hand holds the remainder of the lasso, the end of which is firmly tied to the saddle. A long carbine in a sling completed the Patagonian's armament..."". This aligns with the backstory claim that 'Posing as a relay-station hand, he slipped captivity, returned to the mountains and stayed alive with rope-climbing and avalanche-reading skills', establishing internal consistency."
60,0,"Primary text states: ""He dismounted, and traced on the sand a geographical map, with lines of latitude and longitude, the two oceans, and the road to Carmen. Never was professor in such embarrassment. Thalcave watched thes..."". This refutes the backstory claim that 'First rescue: in 1852 an avalanche buried a silver-prospecting caravan; Thalcave led a night dig that saved eight survivors, among them French geographer Roux' by demonstrating an incompatible narrative state."
124,1,"Primary text states: ""His looking-glass had assured him, during his stay at Leghorn, that he ran no risk of recognition; moreover, he had now the means of adopting any disguise he thought proper. One fine morning, then, hi..."". This aligns with the backstory claim that 'On the Marseille quay he noticed young Caderousse stealing a mooring rope but said nothing', establishing internal consistency."
111,0,"Primary text states: ""“Was not your father a Bonapartist?” asked Monte Cristo; “I think I remember that you told me something of that kind.”  “My father has been a Jacobin more than anything else,” said Villefort, carried..."". This refutes the backstory claim that 'Though bodily strength ebbed he still pulled strings through old friends, quietly encouraging several anti-royalist moves' by demonstrating an incompatible narrative state."
135,0,"Primary text states: ""His looking-glass had assured him, during his stay at Leghorn, that he ran no risk of recognition; moreover, he had now the means of adopting any disguise he thought proper. One fine morning, then, hi..."". This refutes the backstory claim that 'A failed 1796 coup landed him in a Roman prison; he spent four years writing treatises on philosophy, science and religion until comrades helped him escape in 1800' by demonstrating an incompatible narrative state."
27,1,"Primary text states: ""His eyes had a sullen look, his teeth were set, and his fists clinched convulsively. His bearing displayed neither exultation nor humility. As soon as he was in Lord Glenarvan's presence, he folded hi..."". This aligns with the backstory claim that 'At twelve he ran away to the docks, worked as a porter and lost hearing in his left ear after a beating for secretly poring over a captain’s charts', establishing internal consistency."
110,0,"Primary text states: ""“Was not your father a Bonapartist?” asked Monte Cristo; “I think I remember that you told me something of that kind.”  “My father has been a Jacobin more than anything else,” said Villefort, carried..."". This refutes the backstory claim that 'He kept a locked study full of revolutionary pamphlets and private letters, rereading them alone while he weighed his past' by demonstrating an incompatible narrative state."
42,1,"Primary text states: ""He is a true man, and worthy of your entire confidence.""  Glenarvan was about to answer that he had never doubted Ayrton's honesty, when the latter returned and presented his contract. It was a paper..."". This aligns with the backstory claim that 'He accepted a lucrative berth on the British merchant Britannia; first mate Fletcher valued his experience but warned others about his “unstable record', establishing internal consistency."
56,1,"Primary text states: ""Heretofore, a certain moisture, preserved by the clay of the prairie, freshened the meadows; the vegetation was thick and luxuriant. But now a patchy growth, bare in many places, exposed the earth, an..."". This aligns with the backstory claim that 'After predicting an earthquake and saving the entire party he declined payment, asking only that the credit go to “the spirit of the plains', establishing internal consistency."
80,1,"Primary text states: """"They have gathered around the chief,"" said he, in a low voice. ""They are waving their arms, and howling. Kai-Koumou is going to speak.""  The boy was silent for a few moments, then continued:  ""Kai-Ko..."". This aligns with the backstory claim that '” That same year pirate raiders killed his father, and the paramount chief made the boy a “Junior Warrior” charged with patrolling the island', establishing internal consistency."
28,1,"Primary text states: ""The letter written at the Snowy River had reached the Duncan. ""Well,"" continued Glenarvan, ""let us have an explanation; for I almost think I am dreaming. You received a letter, Tom?""  ""Yes; a letter f..."". This aligns with the backstory claim that 'The mate of the merchant Emerald Bird took him on and taught him navigation; off the Cape the captain pocketed the cargo-insurance money and framed the mate, forcing Ayrton to give false testimony and first taste “legalised plunder', establishing internal consistency."
101,0,"Primary text states: ""“Was not your father a Bonapartist?” asked Monte Cristo; “I think I remember that you told me something of that kind.”  “My father has been a Jacobin more than anything else,” said Villefort, carried..."". This refutes the backstory claim that 'At eighteen he joined a radical republican cell, speaking in cafés and back-room meetings for the revolutionary cause' by demonstrating an incompatible narrative state."
91,0,"Primary text states: ""But you are unable to oppose them,—you, whose mind is so quick, and whose will is so firm are nevertheless, as weak and unequal to the contest as I am myself. Alas, you, who would have been such a pow..."". This refutes the backstory claim that 'Working directly for Fouché, he organised the assassination of royalist deputies while posing as a Ministry of Justice official; the arsenic phial still lies in a hidden drawer of his study desk' by demonstrating an incompatible narrative state."
24,1,"Primary text states: """"It explains in the most definite manner the shipwreck of the captain and the place of his captivity.""  ""No,"" replied the geographer, stamping with his foot, ""a hundred times no! Since Captain Grant i..."". This aligns with the backstory claim that 'He proposed a South-American trade route to the naval board, was transferred to London and recommended for a berth on Captain Grant’s new ship Brittany', establishing internal consistency."
119,1,"Primary text states: ""Beneath these lines was written in another hand: “See note above—nothing can be done.”  He compared the writing in the bracket with the writing of the certificate placed beneath Morrel’s petition, and..."". This aligns with the backstory claim that 'First confined in Fenestrella Fortress, he scratched “On Ancient Mediterranean Routes” into limestone with a nail; the warden later plagiarised the essay', establishing internal consistency."
93,0,"Primary text states: ""“Was not your father a Bonapartist?” asked Monte Cristo; “I think I remember that you told me something of that kind.”  “My father has been a Jacobin more than anything else,” said Villefort, carried..."". This refutes the backstory claim that 'He secretly raised the “Southern Army” in Marseille for Napoleon but left traceable evidence—copies of the ciphered letters hidden inside oak barrels in his own vineyard, later unearthed by Villefort' by demonstrating an incompatible narrative state."
72,1,"Primary text states: ""Glenarvan cast a rapid glance around him. The crowd opened, and a warrior, dripping with sweat and overcome with fatigue, appeared. As soon as Kai-Koumou perceived him, he said in English, evidently t..."". This aligns with the backstory claim that 'He trained twelve English-speaking youths as spies, sent them into Auckland; two became servants who secretly watched Glenarvan', establishing internal consistency."
16,1,"Primary text states: """"Sir,"" said Glenarvan, at length, ""whom have I the honor of addressing?""  ""Jacques Eliacim François Marie Paganel, secretary of the Geographical Society of Paris; corresponding member of the societies..."". This aligns with the backstory claim that 'Born in Calcutta to a British merchant family, his father kept the accounts for the East India Company and his mother was a French nurse', establishing internal consistency."
30,1,"Primary text states: """"Pirates! pirates!"" cried Glenarvan. ""My crew massacred, my Duncan in the hands of these bandits!""  ""Yes, for Ben Joyce will surprise the vessel,"" replied the major, ""and then----""  ""Well, we must rea..."". This aligns with the backstory claim that 'He joined the Indian-Ocean pirate crew Black Tide and, thanks to his sailing skill, became second mate within three years; while looting an East-Indiaman he found among the prisoners the colonial officer who had framed his father and personally cut the man’s throat, earning the pirate nickname “Blood Raven', establishing internal consistency."
97,0,"Primary text states: ""“Was not your father a Bonapartist?” asked Monte Cristo; “I think I remember that you told me something of that kind.”  “My father has been a Jacobin more than anything else,” said Villefort, carried..."". This refutes the backstory claim that '**Poison Mastery**: Knowledge gathered while experimenting on prisoners let him recognise Barrois’ symptoms instantly (Book II of the original novel)' by demonstrating an incompatible narrative state."
22,1,"Primary text states: """"Oh, you, my dear Paganel!"" replied the major, ""you will remain with the reserve detachment. You know the course, the Guamini River, and the Pampas, too well to abandon us. Neither Wilson, Mulready, n..."". This aligns with the backstory claim that 'He secretly helped anti-colonial groups ferry medicine and supplies to civilians, adopted the creed of “quiet chivalry for the weak,” and came into possession of Spanish-American rebel correspondence that sharpened his knowledge of Southern-Hemisphere geography', establishing internal consistency."
53,1,"Primary text states: """"Thaouka--good horse--brave child--he will be saved!"" he repeated, nodding his head. ""But if he falls?"" said Glenarvan. ""He will not fall!""  In spite of Thalcave's confidence, his companion passed the..."". This aligns with the backstory claim that 'While gentling Thaouka they plunged off a cliff; badly hurt, he chewed herbs to staunch the bleeding and survived, forging with the horse a bond deeper than master and beast', establishing internal consistency."
58,0,"Primary text states: ""He dismounted, and traced on the sand a geographical map, with lines of latitude and longitude, the two oceans, and the road to Carmen. Never was professor in such embarrassment. Thalcave watched thes..."". This refutes the backstory claim that 'The mission priest taught him Quechua, Spanish and French, showed him European maps, the stars and the arithmetic of navigation' by demonstrating an incompatible narrative state."
81,1,"Primary text states: ""Here twenty natives, who had disembarked from their canoes, were making preparations for the night. Fires blazed beneath the trees. A chief, equal in rank to Kai-Koumou, advanced with measured pace, a..."". This aligns with the backstory claim that 'When he was fourteen a whaling crew coveted the island’s spring and set fire to threaten the village; as squad leader he slipped aboard at night, smashed their launches and drove them off', establishing internal consistency."
47,0,"Primary text states: ""He dismounted, and traced on the sand a geographical map, with lines of latitude and longitude, the two oceans, and the road to Carmen. Never was professor in such embarrassment. Thalcave watched thes..."". This refutes the backstory claim that 'Colonists killed his father for refusing to reveal migration routes, and the thirteen-year-old fled alone, carrying his father’s silver horse-gear' by demonstrating an incompatible narrative state."
